SCHNAM,LSTREE,LCITY,LSTATE,LZIP
HARRINGTON AVERY D SCH,530034 BALTIMORE AVE,PHILADELPHIA,PA,19143
BROWN JOSEPH H SCH,3600 STANWOOD ST,PHILADELPHIA,PA,19136
LEA HENRY C SCH,4700 LOCUST ST,PHILADELPHIA,PA,19139
LONGSTRETH WILLIAM C SCH,5700 WILLOWS AVE,PHILADELPHIA,PA,19143
MCCLURE ALEXANDER K SCH,600 WEST HUNTING PARK PK,PHILADELPHIA,PA,19140
MORTON THOMAS G SCH,2501 SOUTH 63RD ST,PHILADELPHIA,PA,19142
PENNYPACKER SAMUEL SCH,1858 EAST WASHINGTON LN,PHILADELPHIA,PA,19138
WILLARD FRANCES E SCH,2900 EMERALD ST,PHILADELPHIA,PA,19134
PARKWAY NORTHWEST,1100 EAST MT. PLEASANT AVE,PHILADELPHIA,PA,19150
KING MARTIN LUTHER HS,6100 STENTON AVE,PHILADELPHIA,PA,19138
PRINCE HALL,6101 NORTH GRATZ ST,PHILADELPHIA,PA,19141
CLEMENTE ROBERTO MS,122 WEST ERIE AVE,PHILADELPHIA,PA,19140
MEEHAN AUSTIN MS,3001 RYAN AVE,PHILADELPHIA,PA,19152
FRANKLIN LC,616 NORTH 15TH ST,PHILADELPHIA,PA,19130
AMY AT MARTIN,3380 RICHMOND ST,PHILADELPHIA,PA,19134
BALDI C C A MS,8801 VERREE RD,PHILADELPHIA,PA,19115
LA BRUM GEN J HARRY MS,10800 HAWLEY ST,PHILADELPHIA,PA,19154
BARRY COMM JOHN SCH,5900 RACE ST,PHILADELPHIA,PA,19132
ARTS ACADEMY AT BENJAMIN RUSH,11081 KNIGHTS RD,PHILADELPHIA,PA,19154
FITLER ACADEMICS PLUS,140 WEST SEYMOUR ST,PHILADELPHIA,PA,19144
OVERBROOK EDU CTR,6722 LANSDOWNE AVE,PHILADELPHIA,PA,19151
CREATIVE AND PERFORMING ARTS,901 SOUTH BROAD ST,PHILADELPHIA,PA,19147
CARVER HS,1600 WEST NORRIS ST,PHILADELPHIA,PA,19121
MIDDLE YEARS ALTERNATIVE,4725 FAIRMONT AVE,PHILADELPHIA,PA,19139
AMY NW,6000 RIDGE AVE,PHILADELPHIA,PA,19128
BODINE WILLIAM W HS,1101 NORTH 4TH ST,PHILADELPHIA,PA,19123
DEBURGOS BILINGUAL MAGNET MS,401 WEST LEHIGH AVE,PHILADELPHIA,PA,19133
KENSINGTON URBAN EDUCATION ACADEMY,2051 EAST CUMBERLAND ST,PHILADELPHIA,PA,19125
FRANKLIN BENJAMIN SCH,5735 RISING SUN AVE,PHILADELPHIA,PA,19120
